,cities,incidents,killed,latitude,longitude
6271,Waikoloa,3,0,19.9347,-155.814
7657,College Point,3,0,40.7865,-73.83800000000002
7654,Lancaster (Lake Los Angeles),2,0,34.6176,-117.813
7652,Saint George (St George),3,0,33.1951,-80.6085
7651,Ridley Park,3,0,39.8797,-75.3262
7650,Seahurst (Burien),2,0,47.4695,-122.362
7644,Watsonville (La Selva Beach),2,0,36.9145,-121.787
7643,Mesa (county),19,0,39.0281,-108.568
7642,Carnation,2,0,47.6842,-121.925
7641,Woods Cross,2,0,40.8636,-111.902
7640,Paynes Creek,2,0,40.3422,-121.778
7639,Saint James City (St James City),2,0,26.5342,-82.0859
7638,Plover (Buena Vista),2,0,44.4623,-89.5402
7637,Crow Wing (county),4,0,46.28,-94.2925
7632,Scappoose,4,0,45.7421,-122.877
7658,Longmeadow,2,0,42.0606,-72.5237
7631,Greene,2,0,44.2695,-70.0174
7629,Bartholomew (county),7,0,39.1914,-85.9444
7628,Yorktown Heights (Yorktown),4,0,41.2968,-73.7911
7627,West Hempstead,5,0,40.707,-73.656
7626,Boynton Beach (Golf),2,0,26.5117,-80.1233
7625,Kure Beach,2,0,33.9994,-77.9109
7624,Coopersville,2,0,43.0964,-85.9865
7617,Santa Rosa (county),4,0,30.4183,-86.8894
7614,Braithwaite,2,0,29.6111,-89.8685
7609,Branchland,2,0,38.2209,-82.2038
7607,Mechanicsburg (Upper Allen),3,0,40.2492,-76.9988
7604,Naples (Golden Gate),10,0,26.1972,-81.6945
7603,Upper Darby (Millbourne),2,0,39.963,-75.2496
7598,Shiloh,2,0,32.8101,-84.696
7594,Beckham (county),2,0,35.2687,-99.6341
7630,Westmoreland,2,0,39.3921,-96.4121
7659,Pittsburgh (Homewood),8,0,40.4537,-79.8888
7662,Holt,2,0,42.6452,-84.5236
7667,Meadow Vista,2,0,38.9747,-121.018
7727,Dyer (county),3,0,35.969,-89.3918
7725,South China,2,0,44.3648,-69.5163
7724,Weyers Cave,2,0,38.2582,-78.8964
7722,New Ipswich,2,0,42.7411,-71.903
7720,West Hills,3,0,34.1933,-118.626
7717,Mobridge,2,0,45.5404,-100.434
7715,Hildale,2,0,37.0101,-112.966
7714,La Puente (Bassett),3,0,34.0417,-117.992
7713,Petros,2,0,36.0954,-84.4433
7712,Bostic,4,0,35.4554,-81.8651
7711,Boyne City,3,0,45.1541,-85.0395
7710,Stevensville,6,0,46.5115,-114.094
7708,Kendrick,3,0,46.6121,-116.557
7707,East Grand Forks,2,0,47.934,-97.0093
7706,Pine Hall,2,0,36.3367,-80.0467
7702,West Olive,2,0,42.8661,-86.1733
7701,Rains (county),2,0,32.8308,-95.6616
7669,Harwich,4,0,41.6894,-70.0944
7670,Chaska,4,0,44.7865,-93.6113
7674,Okaloosa (county),4,0,30.6095,-86.5376
7677,Barnet,4,0,44.2859,-72.1702
7679,Cass (county),8,0,42.0031,-86.1208
7680,Chico (Cohasset),2,0,39.9586,-121.695
7592,Gilbertsville,2,0,36.9483,-88.2742
7682,Abbotsford,2,0,44.9525,-90.3166
7685,Stark (county),6,0,40.842,-81.3932
7687,Candor,3,0,42.1898,-76.4112
7690,Hamilton (county),10,0,35.02,-85.3519
7691,Augusta (Chelsea),5,0,44.2653,-69.7008
7692,Duff,3,0,36.4959,-84.0636
7699,Cole (county),8,0,38.5737,-92.2485
7684,Walland,2,0,35.7618,-83.8144
7586,Towns (county),3,0,34.9087,-83.7253
7585,Olmsted Falls (Olmsted Twp),2,0,41.3912,-81.9441
7584,Hobart (New Chicago),2,0,41.5192,-87.2745
7508,Hammond (Hessville),5,0,41.6108,-87.5112
7507,Seattle (Ballard),5,0,47.7197,-122.372
7505,Saginaw Charter Township,2,0,43.453,-84.0273
7493,Yale (Lynn Township),2,0,43.13,-82.7983
7492,Coppell,4,0,32.9478,-96.9908
7490,Bethel Island,2,0,38.0195,-121.626
7483,Albert Lea (Oakland),3,0,43.7101,-93.1201
7481,Midway Park,4,0,34.7182,-77.3118
7480,Rohnert Park,5,0,38.3265,-122.712
7477,Branchville,3,0,33.2513,-80.8157
7475,Washington Navy Yard,2,0,38.8746,-76.9945
7474,East Elmhurst,4,0,40.7726,-73.8736
7472,Ulster (county),3,0,41.9333,-74.0137
7470,Wolf Creek (Sunnyvalley),3,0,42.6295,-123.356
7469,Kings Park,2,0,40.8955,-73.2445
7468,Pineview,3,0,32.1101,-83.5
7467,Alburgh,3,0,44.9637,-73.2809
7415,Mendocino (county),2,0,39.3077,-123.799
7416,Brooklet (Stilson),2,0,32.3237,-81.5433
7417,Ash Grove,2,0,37.2865,-93.5953
7421,Alfred (Lyman),4,0,43.5069,-70.5876
7427,Chisago (county),2,0,45.673,-92.9275
7428,Niwot,2,0,40.1039,-105.171
7509,Carman,2,0,40.7407,-91.0598
7429,Constable,2,0,44.9393,-74.2644
7435,Port Edwards,2,0,44.3508,-89.8654
7439,Westford,3,0,42.57,-71.4613
7448,Boligee,2,0,32.7762,-88.0395
7461,Jefferson (Arcade),3,0,34.1171,-83.5724
7462,Hall (county),3,0,34.3435,-83.9096
7464,Wagner,3,0,43.0557,-98.2923
7433,Bonner (county),2,0,48.4929,-116.402
7731,Hawkins (county),4,0,36.411,-82.9818
