cities,killed,latitude,longitude
North Fort Myers,1,26.6463,-81.9161
Mattoon,1,39.4806,-88.3711
Hannibal,1,39.7115,-91.3876
Danielsville,1,34.1698,-83.2257
Spokane (county),1,47.6527,-117.426
Port Royal,1,32.3862,-80.7029
Saugerties,1,42.0834,-73.9457
Harper Woods,1,42.448,-82.9157
Statham,1,33.9868,-83.6017
Longmont,1,40.1813,-105.112
Brooklet,1,32.3296,-81.5228
Victor,1,38.1784,-80.9769
Debary,1,28.872,-81.3065
Ruskin,1,27.7057,-82.4018
Mount Clemens,1,42.5854,-82.8748
Red Bluff,1,40.183,-122.22
Ferndale,1,40.5831,-124.241
Winooski,1,44.4913,-73.1919
Maryland Heights,1,38.7412,-90.4411
East Moline,1,41.5123,-90.4523
Sweet Home,1,44.4033,-122.738
Hoboken,1,40.7449,-74.0295
Oil City (Caddo),1,32.7485,-93.9895
Livonia,1,42.3693,-83.3574
Felton,1,39.0337,-75.7213
Key Largo,1,25.0777,-80.459
Bibb County,1,32.8517,-83.5755
Cincinnati (Walnut Hills),1,39.1225,-84.4943
Hoopa,1,41.0497,-123.674
Cranston,1,41.7802,-71.4657
Natrona (county),1,42.8442,-106.323
Suisun City,1,38.2402,-122.032
Pelham,1,42.7574,-71.2689
Elkins,1,38.9246,-79.8451
Saint Helena Island,1,32.3988,-80.4433
Grapevine,1,32.9197,-97.1072
Royal Palm Beach,1,26.6957,-80.2073
Odenton,1,39.1082,-76.7155
Paulsboro,1,39.8301,-75.2456
Shannon,1,34.8277,-79.081
Skowhegan,1,44.7635,-69.7191
Canandaigua,1,42.8843,-77.279
Blountville,1,36.527,-82.411
Naugatuck,1,41.4908,-73.0242
Southington,1,41.5755,-72.8893
Northampton,1,40.7002,-75.5062
Saugus,1,42.4901,-71.0098
Deerfield,1,42.5209,-72.6069
Bentonville,1,36.3612,-94.2216
Attleboro,1,41.9205,-71.3154
Youngstown (Boardman),1,41.0367,-80.6596
Espanola,1,36.1673,-106.196
Harlingen,1,26.1677,-97.6669
La Crosse,1,43.8006,-91.2515
Manitowoc,1,44.094,-87.6675
Lake Worth (Palm Springs),1,26.6254,-80.0888
Riverhead,1,40.9041,-72.6204
Hancock (county),1,30.3042,-89.3973
Edwardsville,1,38.8064,-89.9517
Ithaca,1,42.4492,-76.4918
Marina,1,36.6871,-121.792
Naperville,1,41.7838,-88.2122
Port Huron,1,43.0046,-82.4337
Bernalillo (county),1,35.0528,-106.729
Eagle Point,1,42.5423,-122.62
Marathon,1,24.7294,-81.035
Bridgewater,1,41.9954,-70.9734
Rincon,1,32.2454,-81.2422
Sunbury,1,40.8606,-76.7916
Wilkes-barre,1,41.239,-75.9015
Port Saint Lucie (Port St Lucie),1,27.2718,-80.3192
Groton,1,41.3646,-72.0642
Dumfries,1,38.5838,-77.328
Bonita Springs,1,26.4405,-81.9229
Central Falls,1,41.8888,-71.393
Hooksett,1,43.0483,-71.4316
Woonsocket,1,42.0094,-71.4883
Costa Mesa,1,33.6765,-117.901
Piqua,1,40.1418,-84.2619
Neenah,1,44.1674,-88.4662
Keene,1,42.9283,-72.2756
Brainerd,1,46.3826,-94.1462
Wesley Chapel,1,28.2486,-82.3552
Afton,1,44.8881,-92.8161
Niceville,1,30.5021,-86.4499
Glassboro,1,39.7049,-75.1043
Dartmouth,1,41.6154,-70.9383
Pueblo (Pueblo West),1,38.3098,-104.753
Hillsborough,1,36.0859,-79.0973
Sun Prairie,1,43.1785,-89.2393
Wareham,1,41.7743,-70.6562
Lemoyne,1,40.2423,-76.8976
Defuniak Springs,1,30.7561,-86.2585
Dowagiac,1,41.9778,-86.1203
Post Falls,1,47.7261,-116.905
Manheim,1,40.2,-76.421
Egg Harbor City,1,39.519,-74.5426
Minneapolis (Brooklyn Center),1,45.0639,-93.2924
Milwaukee (Greenfield),1,43.0563,-87.9439
Barnstable,1,41.6123,-70.4091
Mckinleyville,1,40.9447,-124.116
Lindale,1,32.5397,-95.5267
Albion,1,42.2545,-84.7141
Humboldt (county),1,40.7611,-124.163
Berea,1,37.589,-84.2674
Derby,1,37.5522,-97.2442
Meriden,1,41.5384,-72.8129
Dawson,1,31.7832,-84.4391
Bennington,1,42.8466,-73.1639
Wilkes-Barre,1,41.2459,-75.8813
Falmouth,1,43.7702,-70.2646
Horry (county),1,33.836,-79.0482
Parma,1,42.2475,-84.5374
South Jordan,1,40.5602,-111.996
Traverse City,1,44.7702,-85.6595
Albany (Colonie),1,42.7445,-73.7617
Hyannis,1,41.658,-70.297
Immokalee,1,26.4222,-81.4206
Oviedo,1,28.6799,-81.1796
Williamstown,1,39.7154,-75.0023
Shirley,1,40.7586,-72.872
Tonawanda,1,43.0026,-78.8699
Seaford,1,38.6429,-75.6074
Muscatine,1,41.4341,-91.0452
Silver Creek,1,34.1554,-85.1421
Crothersville,1,38.8068,-85.8398
Butte Falls,1,42.5445,-122.566
Spanish Fort,1,30.6776,-87.8684
Rural Hall,1,36.2372,-80.2993
Georgetown County,1,33.4615,-79.5652
Mc Clellanville (Mcclellanville),1,33.198,-79.4479
Grand Junction (Fruitvale),1,39.0885,-108.516
Saint Clair Shores,1,42.512,-82.8838
Kent (Covington),1,47.3727,-122.199
Muskegon (county),1,43.2727,-86.2787
Hamlin,1,43.3092,-77.8229
Del City,1,35.4538,-97.4573
Eatontown,1,40.3009,-74.0564
Gregg County,1,32.4182,-94.8459
Cody,1,44.5401,-109.035
DeKalb County,1,34.3715,-85.7352
Streetsboro,1,41.2488,-81.3482
Taos (county),1,36.4072,-105.573
Snow Hill,1,38.1722,-75.3985
Maitland,1,28.6233,-81.3633
Christiana,1,35.6793,-86.3011
South Burlington,1,44.4703,-73.1651
Boardman,1,45.8246,-119.708
Middlesboro,1,36.6058,-83.7267
Lutz,1,28.1827,-82.4113
West Hollywood,1,34.094,-118.376
Eight Mile,1,30.7782,-88.1342
Forrest County,1,31.1358,-89.292
Crawford,1,33.3083,-88.6224
Menomonie,1,44.8826,-91.8998
Bruceton Mills,1,39.6589,-79.619
Castle Hayne,1,34.317,-77.936
Lake Waccamaw,1,34.4022,-78.5326
Saint Louis (Kirkwood),1,38.5673,-90.4037
Sellersburg,1,38.3939,-85.7517
Hingham,1,42.1976,-70.9188
Crescent City,1,41.7782,-124.2
Glen Cove,1,40.8717,-73.6253
Pelion,1,33.7588,-81.2388
Charleston (Cross Lanes),1,38.3233,-81.707
South Sioux City,1,42.4627,-96.4209
Myerstown,1,40.3711,-76.3033
North Lauderdale,1,26.2083,-80.2333
Larkspur,1,37.9385,-122.525
Trenton (Ewing Township),1,40.2335,-74.7641
Monterey (county),1,36.6935,-121.803
Shawnee (county),1,39.0149,-95.7569
Tobyhanna,1,41.1717,-75.3716
Connellsville,1,40.0044,-79.5913
Atlanta (Dunwoody),1,33.9413,-84.2714
Nixa,1,37.0886,-93.3344
Mc Calla,1,33.3338,-87.0136
Orland Park,1,41.6051,-87.804
Buncombe (county),1,35.5785,-82.6559
Sperry,1,36.3181,-96.0494
Broward (county),1,26.0168,-80.242
Gallia (county),1,38.9538,-82.1543
Green Township,1,40.7045,-78.9414
Ventura (county),1,34.1677,-119.17
Trinity (county),1,40.7331,-122.942
Saint Louis (Normandy),1,38.7024,-90.2941
Kent (county),1,38.8768,-75.5139
Truckee,1,39.3369,-120.156
Rockwood,1,35.9519,-84.6692
Ninilchik,1,60.0308,-151.658
Buda,1,30.0494,-97.8375
Houston (county),1,31.0217,-85.3498
Middleton,1,43.0993,-89.4863
Mercer County,1,37.7114,-84.9209
Cincinnati (Blue Ash),1,39.2475,-84.38
Fishkill,1,41.5348,-73.8824
Pitcairn,1,40.405,-79.7775
Park City,1,40.7152,-111.506
