cities,incidents,latitude,longitude
Bannock (county),2,42.678,-112.346
South Fulton,2,36.4876,-88.8737
Foss,2,35.3608,-99.1766
Chicago (Lincoln Park),2,41.9162,-87.646
Van Buren (county),2,42.2505,-85.8796
Coward,2,33.963,-79.7336
Port Sulphur (Myrtle Grove),2,29.6271,-89.9336
Charenton,2,29.8825,-91.5269
Owingsville,2,38.1478,-83.7129
Beaver (Glen Morgan),2,37.7572,-81.1606
Union (Middleton),2,43.4922,-71.0239
De Witt,2,34.2955,-91.3301
Mc Cool,2,33.1459,-89.4497
Ullster (county),2,41.7362,-74.0054
New Matamoras,2,39.5077,-81.0804
Port Clinton,2,41.5051,-82.9792
Houston (Aldine),2,29.9313,-95.3555
Greenfield (Spring Lake),2,39.8005,-85.7878
Industry,2,33.9969,-117.93
Reedy,2,38.8513,-81.3952
Lowmansville,2,37.9209,-82.732
Olton,2,34.1896,-102.128
Saint Paul (Falcon Heights),2,44.9918,-93.1702
Loysville,2,40.3656,-77.3446
Montesano,2,46.9901,-123.599
West Burlington,2,40.8221,-91.1577
Clear Brook,2,39.2894,-78.0956
Roslyn Heights,2,40.7848,-73.6419
Rosholt (Alban),2,44.6171,-89.256
Velda City,2,38.6932,-90.2937
Au Gres,2,44.0555,-83.6541
Waterloo (Junius),2,42.9059,-76.8768
Orcas,2,48.5984,-122.942
Clinton Township (Charter Township of Clinton),2,42.5549,-82.889
Reading (Muhlenberg Township),2,40.3735,-75.9228
Oktibbeha (county),2,33.5148,-88.918
Spring Green,2,43.1792,-90.0542
Salemburg,2,34.9812,-78.4984
Kingsford,2,45.8226,-88.0664
Apache,2,36.1544,-109.553
Wisconsin Rapids (Grand Rapids),2,44.3525,-89.7264
Lake Andes,2,43.1518,-98.5142
Carbon Cliff,2,41.5032,-90.4006
Oriskany Falls (Augusta),2,42.9392,-75.461
West Monroe (Luna),2,32.3526,-92.1874
Cottage Hills,2,38.9169,-90.0919
Roseau,2,48.8162,-95.7455
New Plymouth,2,43.9916,-116.793
Warner,2,43.2796,-71.8213
Linn Grove,2,42.9842,-95.2108
Naval Anacost Annex (Anacostia),2,38.8587,-77.0098
Wellesley,2,42.3112,-71.2789
Harbor View,2,41.695,-83.4453
Newburg (Big Piney),2,37.9432,-91.8828
Duluth (Midway Township),2,46.7449,-92.2841
New Alexandria,2,40.3749,-79.4582
Eutaw (Union),2,32.9921,-87.9156
Eagle Grove,2,42.6641,-93.903
Gloster,2,31.1981,-91.0228
Welaka,2,29.4835,-81.672
Roaring Spring,2,40.3178,-78.3955
Steens,2,33.5461,-88.3386
Rolette (county),2,48.8047,-99.8055
Budd Lake (Mount Olive),2,40.8722,-74.7436
Missaukee (county),2,44.2646,-84.8868
Scooba,2,32.8282,-88.4764
Bolivar (county),2,33.7248,-90.6647
Mingo Junction,2,40.3256,-80.6076
New Scotland,2,42.5683,-73.9058
Mc Farland,2,35.6769,-119.231
Ticonderoga,2,43.8848,-73.6689
Tarkio,2,40.4385,-95.389
Angleton,2,29.16,-95.4255
Sarasota (county),2,27.3542,-82.5466
Leflore (county),2,33.3827,-90.3451
Honey Brook,2,40.0969,-75.9152
Cincinnati (Pleasant Ridge),2,39.1996,-84.3793
Chevak,2,61.5278,-165.586
Mantua,2,41.275,-81.3115
Phoenix (Anthem),2,33.8485,-112.138
Bradshaw,2,40.9185,-97.7612
Huddleston,2,37.1918,-79.4281
Scarbro (Kingston),2,37.954,-81.2532
Morgan City (Bayou Vista),2,29.6938,-91.2632
Howe,2,41.7217,-85.4211
Harpursville (Colesville),2,42.1857,-75.661
Eek,2,59.8315,-162.016
Greeneville (Tusculum),2,36.1848,-82.7421
New Braintree,2,42.3107,-72.0505
Canyon Dam (Canyondam),2,40.1924,-121.122
Port Townsend,2,48.1167,-122.783
Miami (El Portal),2,25.8562,-80.2412
Lake Andes (Ravinia),2,43.1365,-98.4268
Smith Mills,2,37.7984,-87.7615
Napoleon,2,41.4426,-84.1536
Nogal,2,33.4989,-105.69
New Kingstown,2,40.2331,-77.0797
Baltimore (Highlandtown),2,39.2878,-76.5639
Carlisle (county),2,36.8273,-88.8646
Saint Petersburg (Kenneth City),2,27.8194,-82.7157
Plainsboro,2,40.329,-74.5639
Parachute,2,39.442,-108.059
Pittsburgh (Plum),2,40.4891,-79.766
Argos,2,41.2298,-86.2475
Granville (county),2,36.3906,-78.7073
Freeman Spur,2,37.8728,-88.9724
Stull,2,38.9711,-95.4558
Pickett,2,43.916,-88.6626
Schleswig,2,42.1577,-95.4368
Melrose Park (Northlake),2,41.9071,-87.9023
Cub Run,2,37.3061,-86.1032
Bethlehem (Fountain Hill),2,40.6047,-75.3938
Palmyra (Lake Monticello),2,37.9234,-78.3216
Rangeley,2,44.9664,-70.6455
Black Eagle,2,47.5272,-111.28
Hanley Falls,2,44.6882,-95.6603
Ypsilanti (Augusta Township),2,42.1562,-83.6494
Rose Creek,2,43.5998,-92.8366
Westtown,2,41.3099,-74.5573
Gurdon,2,33.9057,-93.1504
Clarks Point,2,58.8346,-157.986
jefferson parish (county),2,29.6499,-90.1121
Leadville,2,39.2505,-106.292
Collingswood,2,39.919,-75.0772
Calumet (Laurium),2,47.2384,-88.4352
Bozrah,2,41.567,-72.1513
Boscobel,2,43.1726,-90.7299
Barre (Orange),2,44.2179,-72.5389
Cincinnati (Glendale),2,39.273,-84.472
Nez Perce County,2,46.4182,-116.623
Steele (county),2,44.0802,-93.223
Stoneham,2,42.4753,-71.1043
Kimble (county),2,30.4885,-99.7752
Temple (Moffatt),2,31.1859,-97.4704
Manchester Township (Manchester),2,40.0432,-74.2931
Novinger (Youngstown),2,40.2315,-92.7282
Rush Springs,2,34.7826,-97.964
Cedarcreek,2,36.5711,-93.0225
Danbury (Dairyland),2,46.0142,-92.2616
Loch Sheldrake,2,41.7822,-74.6577
Knoxville (Karns),2,35.956,-84.1074
Sandoval (county),2,35.2484,-106.686
South Hero,2,44.6639,-73.3228
Brandon (Leicester),2,43.8571,-73.1054
Morrow (county),2,40.4141,-82.8596
Lee Center,2,43.3037,-75.4645
Bucks,2,31.0097,-88.0248
Morgantown (Sabraton),2,39.6201,-79.9241
Hampton Bays,2,40.8658,-72.5318
Mahaska (county),2,41.1761,-92.5735
Oaklyn,2,39.9083,-75.0916
Tehama,2,40.0253,-122.124
New Fairfield,2,41.4624,-73.5307
Power (county),2,42.7018,-113.062
Heuvelton,2,44.5296,-75.546
Schuylerville,2,43.1408,-73.6387
Holt (county),2,39.4373,-94.439
Voorhees (Voorhees Township),2,39.8579,-75.0072
Brookside,2,33.6401,-86.9155
Barbour (county),2,39.1524,-80.0422
Laguna,2,34.9929,-107.238
Monroeton,2,41.7093,-76.4808
Caddo,2,32.7561,-98.6806
Asbury Park (Ocean Township),2,40.2419,-74.0507
Bleckley (county),2,32.3447,-83.3036
Martins Ferry,2,40.1034,-80.7167
Mamaroneck,2,40.9345,-73.7626
El Prado,2,36.4657,-105.661
Hitchcock,2,29.342,-95.0067
Fannettsburg,2,40.0813,-77.82
Cotulla,2,28.4352,-99.2359
Barnstead,2,43.3275,-71.2975
Middlesex County,2,37.7451,-76.6454
Wamego,2,39.2059,-96.3054
Cresco,2,43.3662,-92.117
Carlton County,2,46.5354,-92.9619
La Place (Montz),2,30.032,-90.4595
Duanesburg,2,42.8495,-74.142
Township Of Washington (Washington Township),2,40.9899,-74.0606
Hamburg (Hardyston),2,41.1539,-74.5769
Poteau,2,35.0362,-94.5581
Rickman,2,36.2976,-85.3272
Shelly,2,47.4546,-96.7987
Williamsport (South Williamsport),2,41.2291,-77.0069
Cotton Plant,2,34.9983,-91.2524
Whites City,2,32.1764,-104.376
Blencoe,2,41.9305,-96.089
McKees Rocks,2,40.4668,-80.069
Auburn (Algona),2,47.3055,-122.251
Nassau (county),2,30.624,-81.4713
Beachwood (Highland Hills),2,41.4487,-81.5358
Beech Mountain,2,36.211,-81.889
Mears,2,43.6677,-86.4846
Carbonado,2,47.0322,-122.01
Holmes County,2,33.0898,-90.1892
Lawrence Township (Lawrence),2,40.2918,-74.7381
Dayville,2,41.8798,-71.8552
Seligman,2,35.3277,-112.877
Phillipsville,2,40.2092,-123.786
Cullison,2,37.6439,-98.7429
Indian Springs,2,36.5159,-115.585
Tekoa,2,47.2241,-117.07
Bunch,2,35.8141,-94.6342
Graff,2,37.2955,-92.2692
Dixiana,2,33.8954,-81.0621
Garrisonville,2,38.4798,-77.4024
De Soto (Desoto),2,38.1306,-90.5594
Hanna (Vernon),2,35.2155,-95.9256
Coulterville,2,38.1864,-89.6057
La Verkin,2,37.2026,-113.268
Estero ,2,26.4234,-81.793
Lake Worth (Atlantis),2,26.5885,-80.1052
Coxs Creek (Deatsville),2,37.898,-85.5666
North Dartmouth,2,41.6394,-71.0259
