,State,2014,2015,2016,2017
0,Alabama,4840037,4850858,4860545,4874747
1,Alaska,736759,737979,741522,739795
2,Arizona,6706435,6802262,6908642,7016270
3,Arkansas,2964800,2975626,2988231,3004279
4,California,38701278,39032444,39296476,39536653
5,Colorado,5342311,5440445,5530105,5607154
6,Connecticut,3600188,3593862,3587685,3588184
7,Delaware,934805,944107,952698,961939
8,District of Columbia,660797,672736,684336,693972
9,Florida,19897747,20268567,20656589,20984400
10,Georgia,10083850,10199533,10313620,10429379
11,Hawaii,1417710,1426320,1428683,1427538
12,Idaho,1630391,1649324,1680026,1716943
13,Illinois,12882438,12862051,12835726,12802023
14,Indiana,6593182,6610596,6634007,6666818
15,Iowa,3105563,3118473,3130869,3145711
16,Kansas,2899553,2905789,2907731,2913123
17,Kentucky,4410415,4422057,4436113,4454189
18,Louisiana,4648797,4671211,4686157,4684333
19,Maine,1328903,1327787,1330232,1335907
20,Maryland,5970245,6000561,6024752,6052177
21,Massachusetts,6757925,6794002,6823721,6859819
22,Michigan,9914675,9918170,9933445,9962311
23,Minnesota,5452649,5483238,5525050,5576606
24,Mississippi,2988578,2985297,2985415,2984100
25,Missouri,6058014,6072640,6091176,6113532
26,Montana,1019931,1028317,1038656,1050493
27,Nebraska,1880920,1893564,1907603,1920076
28,Nevada,2831730,2883057,2939254,2998039
29,New Hampshire,1328684,1330134,1335015,1342795
30,New Jersey,8943010,8960001,8978416,9005644
31,New Mexico,2083207,2082264,2085432,2088070
32,New York,19773580,19819347,19836286,19849399
33,North Carolina,9941160,10041769,10156689,10273419
34,North Dakota,738658,754859,755548,755393
35,Ohio,11593741,11606027,11622554,11658609
36,Oklahoma,3875008,3904353,3921207,3930864
37,Oregon,3960673,4016537,4085989,4142776
38,Pennsylvania,12790341,12791124,12787085,12805537
39,Rhode Island,1054782,1055916,1057566,1059639
40,South Carolina,4824758,4892423,4959822,5024369
41,South Dakota,849455,854036,861542,869666
42,Tennessee,6540007,6590726,6649404,6715984
43,Texas,26954436,27454880,27904862,28304596
44,Utah,2938671,2984917,3044321,3101833
45,Vermont,625665,624455,623354,623657
46,Virginia,8316902,8366767,8414380,8470020
47,Washington,7046931,7152818,7280934,7405743
48,West Virginia,1847624,1839767,1828637,1815857
49,Wisconsin,5751272,5759744,5772917,5795483
50,Wyoming,583334,586102,584910,579315
